	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
D1	5.420	1.033	1.400	4861.719	485.100	3487.642	400.488	12.000	7.190	0.100	0.717	0.082
D2	5.490	1.995	3.346	7079.196	2647.656	3450.343	19.680	12.000	1.303	0.374	0.487	0.003
D3	5.148	0.824	2.196	5905.210	3521.810	2037.103	1664.114	2.500	0.578	0.596	0.345	0.282
D4	5.466	2.036	2.732	5599.236	3733.963	1777.107	551.384	12.000	0.476	0.667	0.317	0.098
D5	3.800	0.700	2.070	10365.533	3697.610	6429.773	1453.860	12.000	1.739	0.357	0.620	0.140
D6	5.538	2.068	2.845	10905.972	3375.207	6830.956	7.417	12.000	2.024	0.309	0.626	0.001
D7	5.518	2.170	4.152	9486.707	2944.799	5657.886	75.227	8.000	1.921	0.310	0.596	0.008
D8	5.620	0.889	4.680	11748.376	3072.960	8406.302	5.166	8.000	2.736	0.262	0.716	0.000
D9	5.540	0.764	4.700	9629.162	2594.196	6120.091	9.520	8.000	2.359	0.269	0.636	0.001
D10	5.600	1.222	4.660	9048.441	2056.824	6319.958	11.070	8.000	3.073	0.227	0.698	0.001
D11	5.480	1.794	4.720	9158.749	2099.592	6412.833	7.159	8.000	3.054	0.229	0.700	0.001
D12	5.520	2.074	4.740	8120.099	2341.033	5516.032	191.142	8.000	2.356	0.288	0.679	0.024
D13	5.530	2.154	4.800	6942.554	2908.066	3834.623	71.586	8.000	1.319	0.419	0.552	0.010
D14	12.800	0.200	8.780	10849.769	3367.129	7313.163	116.936	8.000	2.172	0.310	0.674	0.011
D15	5.535	2.138	7.108	10059.696	3132.340	6002.994	20.553	8.000	1.916	0.311	0.597	0.002
D16	5.543	2.247	9.329	11811.649	2634.984	8886.032	233.317	8.000	3.372	0.223	0.752	0.020
D17	5.494	1.556	11.940	8656.131	1248.192	7199.967	50.381	8.000	5.768	0.144	0.832	0.006
