X var	Y var	MIC (strength)	MIC-p^2 (nonlinearity)	MAS (non-monotonicity)	MEV (functionality)	MCN (complexity)	Linear regression (p)	rawp	BH	BY
OTU14	OTU13	0.9975	0.20620692	0	0.9975	2	0.8895466	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU17	OTU15	0.9975	0.06244719	0	0.9975	2	0.9669813	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU20	OTU7	0.9975	0.6479621	0	0.9975	2	0.5912173	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU21	OTU20	0.9975	0.36036807	0	0.9975	2	0.79820544	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU28	OTU26	0.9975	0.25384963	0	0.9975	2	0.86235166	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU36	OTU13	0.9975	0.19569004	0	0.9975	2	0.89543843	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU36	OTU14	0.9975	0.23822975	0	0.9975	2	0.87136114	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU38	OTU2	0.9975	0.34087878	0	0.9975	2	0.8103217	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU59	OTU19	0.9975	0.582644	0	0.9975	2	0.64409316	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU76	OTU3	0.97741	0.3048312	0	0.97741	2	0.820109	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU76	OTU13	0.97741	0.33772326	0	0.97741	2	0.7998042	1.1013e-05	0.00104923366666667	0.00840249309215543
OTU62	OTU3	0.93666	0.2757718	0	0.93666	2	0.8129503	1.3061e-05	0.00104923366666667	0.00840249309215543
OTU62	OTU8	0.93666	0.20060486	0	0.93666	2	0.85793656	1.3061e-05	0.00104923366666667	0.00840249309215543
OTU84	OTU45	0.93666	0.13707536	0	0.93666	2	0.89419496	1.3061e-05	0.00104923366666667	0.00840249309215543
OTU84	OTU74	0.93666	0.59064704	0	0.93666	2	0.58822864	1.3061e-05	0.00104923366666667	0.00840249309215543
OTU101	OTU17	0.93666	0.23577881	0	0.93666	2	0.83718646	1.3061e-05	0.00104923366666667	0.00840249309215543
